"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"TP.nlogox"
"experiment2"
"10/19/2025 21:38:44:837 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num_firefighters","agents_energy","firefighters_transport_capacity","num_obstacles","oxygen_tanks_energy","num_smoke","num_oxygen_tanks","num_victims","[step]","count victims with [rescued?]","count firefighters with [dead? = false]","ticks"
"1","50","70","10","50","15","20","25","50","85","22","41","85"
"2","50","70","10","50","15","20","25","50","88","25","43","88"
"3","50","70","10","50","15","20","25","50","85","21","35","85"
"4","50","70","10","50","15","20","25","50","85","21","43","85"
"5","50","70","10","50","15","20","25","50","89","26","40","89"
"6","50","70","10","50","15","20","25","50","91","20","45","91"
"7","50","70","10","50","15","20","25","50","81","27","47","81"
"8","50","70","10","50","15","20","25","50","93","27","44","93"
"9","50","70","10","50","15","20","25","50","91","27","43","91"
"10","50","70","10","50","15","20","25","50","85","29","48","85"
"11","50","70","10","50","15","20","50","50","94","26","47","94"
"12","50","70","10","50","15","20","50","50","96","22","46","96"
"13","50","70","10","50","15","20","50","50","89","18","42","89"
"14","50","70","10","50","15","20","50","50","90","19","48","90"
"15","50","70","10","50","15","20","50","50","91","19","41","91"
"16","50","70","10","50","15","20","50","50","99","18","44","99"
"17","50","70","10","50","15","20","50","50","88","21","46","88"
"18","50","70","10","50","15","20","50","50","96","26","49","96"
"19","50","70","10","50","15","20","50","50","92","23","43","92"
"20","50","70","10","50","15","20","50","50","99","20","44","99"
"21","50","70","10","50","15","20","75","50","99","13","50","99"
"22","50","70","10","50","15","20","75","50","91","26","48","91"
"23","50","70","10","50","15","20","75","50","94","17","49","94"
"24","50","70","10","50","15","20","75","50","95","10","46","95"
"25","50","70","10","50","15","20","75","50","96","11","39","96"
"26","50","70","10","50","15","20","75","50","94","14","43","94"
"27","50","70","10","50","15","20","75","50","99","13","41","99"
"28","50","70","10","50","15","20","75","50","96","17","45","96"
"29","50","70","10","50","15","20","75","50","97","21","48","97"
"30","50","70","10","50","15","20","75","50","99","24","49","99"
